date,Total_Sales,total_sales_log
2018-06-20,1395420000,21.056461282174492
2018-06-21,4548505000,22.23806444448928
2018-06-22,5707875000,22.465112637232213
2018-06-23,2458610000,21.62286198654465
2018-06-24,2258259998,21.537860441306467
2018-06-25,980205000,20.703272291426508
2018-06-26,5456070993,22.419994769316407
2018-06-27,2800171996,21.752946679383857
2018-06-28,5385364993,22.40695092483072
2018-06-29,6698130000,22.625094219908817
2018-06-30,2763044998,21.739599168676175
2018-07-01,2721569998,21.724474755882557
2018-07-02,2704864998,21.718317839681465
2018-07-03,7568394996,22.747246860251533
2018-07-04,3671479999,22.023860687203896
2018-07-05,5889919998,22.49650825183515
2018-07-06,6614405000,22.6125156833779
2018-07-07,3772297995,22.05095020045292
2018-07-08,2400534999,21.598957465708175
2018-07-09,13120000,16.389648341480218
2018-07-10,7584074997,22.749316490695175
2018-07-11,4169920000,22.151162687920817
2018-07-12,6149524996,22.539640679359188
2018-07-13,7132869997,22.687979514504935
2018-07-14,4009344988,22.111893720284296
2018-07-15,3810899999,22.061131218399392
2018-07-16,3987254995,22.106368859909473
2018-07-17,8259775995,22.83466330486217
2018-07-18,5054840000,22.343612037088043
2018-07-19,6567848000,22.60545206631961
2018-07-20,7508029998,22.73923895113419
2018-07-21,4469049996,22.22044169412537
2018-07-22,4461530000,22.218757593477772
2018-07-23,4160239996,22.148838600901655
2018-07-24,8423280998,22.854265256520993
2018-07-25,5295479996,22.39011946269389
2018-07-26,6481405000,22.592203144795974
2018-07-27,7352814995,22.71834906936525
2018-07-28,4394184994,22.203547911524634
2018-07-29,4471364996,22.220959567189162
2018-07-30,4630489994,22.25592852968251
2018-07-31,8973949999,22.91759177272181
2018-08-01,5401284996,22.409902724430342
2018-08-02,6609940995,22.61184056414384
2018-08-03,7216674999,22.699660157321976
2018-08-04,4626924998,22.25515833710082
2018-08-05,4609979999,22.25148935533384
2018-08-06,4541725000,22.236572732781823
2018-08-07,9288310000,22.95202245718468
2018-08-08,5768392993,22.475659367929865
2018-08-09,7116284998,22.68565165625717
2018-08-10,7981964998,22.800450458446825
2018-08-11,4455184999,22.21733442315739
2018-08-12,4376360000,22.199483165592774
2018-08-13,4518539996,22.231454768877157
2018-08-14,9353300000,22.958995059154393
2018-08-15,5895924998,22.497527270924856
2018-08-16,7142219996,22.689289488780638
2018-08-17,7374979998,22.721359027033024
2018-08-18,4261409998,22.1728659279101
2018-08-19,3892945000,22.08243177755302
2018-08-20,3997719993,22.108990033803547
2018-08-21,8251934999,22.833713555124877
2018-08-22,6547590999,22.602363032531347
2018-08-23,6284143999,22.56129547225865
2018-08-24,7140271000,22.689016567759698
2018-08-25,3731625998,22.040109900011483
2018-08-26,3510334998,21.978977310895623
2018-08-27,2991095000,21.818905378042345
2018-08-28,7907725000,22.791105966738638
2018-08-29,4078089998,22.1288945780067
2018-08-30,5933390000,22.50386155609253
2018-08-31,6588120000,22.608533864032164
2018-09-01,3306234998,21.91907591609367
2018-09-02,2973775000,21.813098026439757
2018-09-03,2883979999,21.782437121185566
2018-09-04,7625930000,22.754820119215605
2018-09-05,3384154998,21.942370080832944
2018-09-06,5384615000,22.40681165010566
2018-09-07,5916519996,22.501014274484014
2018-09-08,3292790000,21.915001066670335
2018-09-09,3497759998,21.975388599982562
2018-09-10,2946830000,21.80399585325593
2018-09-11,4669380000,22.264292137500888
2018-09-12,2712975000,21.721311655689483
2018-09-13,2376104998,21.588728428547853
2018-09-14,2678915000,21.70867769874872
2018-09-15,1149309998,20.862427597509363
2018-09-16,1068095000,20.78914252483934
2018-09-17,877775000,20.592900854521197
2018-09-18,536135000,20.099896552993883
2018-09-21,200000,12.206072645530174
2018-09-22,16585000,16.62400923036329
2018-09-23,1024335000,20.747309458499846
2018-09-24,1045615000,20.767871066001533
2018-09-25,3004390000,21.823340389318986
2018-09-26,3062430000,21.842474555413173
2018-09-27,4064795000,22.12562914817022
2018-09-28,6445785000,22.586692265765404
2018-09-29,2548060000,21.65859812225977
2018-09-30,2549900000,21.659319979661515
2018-10-01,2776035000,21.74428948758065
2018-10-02,6297059999,22.56334869459565
2018-10-03,4076964997,22.128618675267152
2018-10-04,7086169998,22.68141083378778
2018-10-05,7216320000,22.69961096462149
2018-10-06,5050614988,22.342775852621102
2018-10-07,3147889999,21.869998223752543
2018-10-08,3206770000,21.88853003696894
2018-10-09,8292264997,22.838588989161728
2018-10-10,5713465000,22.466091506689978
2018-10-11,9030222998,22.92384289930848
2018-10-12,9497079001,22.974250114694268
2018-10-13,4106017996,22.135719538387907
2018-10-14,3567719997,21.99519257240763
2018-10-15,3465385000,21.966089574527007
2018-10-16,10134179994,23.039179705239675
2018-10-17,5617694999,22.44918727419387
2018-10-18,9718735999,22.997321405707517
2018-10-19,11127277998,23.132665407902625
2018-10-20,5165134997,22.365197076059317
2018-10-21,3492334995,21.97383640245316
2018-10-22,3505140000,21.977496299573925
2018-10-23,9449925000,22.96927264191263
2018-10-24,5594120000,22.444981883051337
2018-10-25,9567438000,22.981631294971383
2018-10-26,10419759998,23.066969840184875
2018-10-27,4599489998,22.249211264294928
2018-10-28,3231999000,21.89636666819927
2018-10-29,859461000,20.571816006539542
2018-10-30,2070000,14.543059165241552
2018-10-31,4518978000,22.23155169903
2018-11-01,7722309998,22.76737937876382
2018-11-02,7970860000,22.799058228569656
2018-11-03,3065780000,21.84356786009225
2018-11-04,682985000,20.341983455361248
